"Risk ID","Risk Theme","Control ID","Control Family","Control Type","Why This Control Applies","Implementation Statement","Evidence Needed","Action / Control Owner","Status","Assessment Reference"
"R-001","Excessive user access","AC-2","Access Control","Management / Technical","Supports account lifecycle management, including account creation, modification, review, disabling, and removal.","User accounts are reviewed against approved role requirements and disabled or modified when no longer needed.","Account inventory, access review export, disabled account report","IAM Team","Assessed - Exceptions","07-control-assessment.md"
"R-001","Excessive user access","AC-5","Access Control","Management","Supports separation of duties to reduce inappropriate access concentration.","Roles are reviewed to ensure access responsibilities are separated where required.","Role matrix, separation of duties review, approval records","IAM Team","Planned",""
"R-001","Excessive user access","AC-6","Access Control","Technical","Supports least privilege by limiting access to only what is required for approved duties.","User permissions are limited based on documented role requirements and business need.","RBAC matrix, group membership export, access review notes","IAM Team","Assessed - Exceptions","07-control-assessment.md"
"R-002","Weak privileged access separation","AC-6","Access Control","Technical","Privileged access should be limited to approved administrative functions.","Privileged permissions are separated from standard user accounts and reviewed periodically.","Privileged group export, admin access review, RBAC matrix","Security / IAM Team","Planned",""
"R-002","Weak privileged access separation","IA-2(1)","Identification and Authentication","Technical","Multi-factor authentication should be required for privileged accounts.","Privileged access requires MFA before administrative access is allowed.","MFA configuration evidence, authentication policy, privileged login logs","Security / IAM Team","Planned",""
"R-002","Weak privileged access separation","AU-6","Audit and Accountability","Operational","Privileged account activity should be reviewed for suspicious or unauthorized activity.","Privileged account activity is logged and reviewed through SIEM or documented review processes.","SIEM alerts, privileged activity logs, review notes","SOC Team","Planned",""
"R-003","Insufficient network segmentation","SC-7","System and Communications Protection","Technical","Boundary protection supports segmentation between user, server, admin, remote access, DMZ, logging, and backup zones.","Network zones are separated using firewall rules, ACLs, VLANs, and deny-by-default traffic controls.","Network diagram, firewall rules, ACL export, VLAN list","Network Team","Planned",""
"R-003","Insufficient network segmentation","AC-4","Access Control","Technical","Information flow between network zones should be controlled based on approved business need.","Inter-zone traffic is allowed only when documented, approved, and logged where feasible.","Approved traffic matrix, firewall rule export, change approval records","Network Team","Planned",""
"R-003","Insufficient network segmentation","AC-17","Access Control","Management / Technical","Remote access should be authorized, managed, and limited so it does not provide unnecessary reachability into internal zones.","Remote access uses approved methods, requires authorized users, and is restricted to documented systems and network paths.","VPN user list, remote access policy, MFA evidence, VPN/firewall configuration","Security / Network Team","Planned",""
"R-003","Insufficient network segmentation","CM-2","Configuration Management","Operational / Technical","Baseline configurations help define approved network and firewall settings.","Approved baseline configurations are documented for network devices, firewall rules, and segmentation controls.","Baseline configuration, firewall standard, change records","Network Team","Planned",""
"R-004","Incomplete SIEM/logging coverage","AU-2","Audit and Accountability","Management / Technical","The organization must define which events are logged for security monitoring and accountability.","Authentication, firewall, endpoint, and administrative events are identified as required log sources.","Logging requirements, SIEM log source list, event collection policy","SOC Team","Planned",""
"R-004","Incomplete SIEM/logging coverage","AU-6","Audit and Accountability","Operational","Collected logs must be reviewed or monitored to identify suspicious activity.","SIEM alerts and review procedures are used to monitor authentication, network, and administrative activity.","SIEM alerts, review notes, escalation records","SOC Team","Planned",""
"R-004","Incomplete SIEM/logging coverage","SI-4","System and Information Integrity","Technical / Operational","Monitoring supports detection of attacks, indicators, and suspicious system behavior.","SIEM and monitoring tools alert on suspicious authentication, network, endpoint, and administrative events.","Alert rules, sample alerts, detection logic, SIEM dashboard","SOC Team","Planned",""
"R-005","Unvalidated backup and restore","CP-9","Contingency Planning","Operational","Backup processes support recovery from outage, ransomware, or system failure.","Backups are performed, protected, and monitored according to recovery requirements.","Backup job logs, retention settings, backup success/failure reports","SysAdmin Team","Planned",""
"R-005","Unvalidated backup and restore","CP-10","Contingency Planning","Operational","Restore capability should be validated before an incident occurs.","Restore tests are conducted on a scheduled basis and results are documented as evidence.","Restore test report, validation notes, recovery screenshots","SysAdmin Team","Planned",""
